ip,module,version,eol_status
45.156.85.85,mongodb,7.0.25,False
84.22.103.8,mongodb,3.4.24,2020-01-31
185.183.34.97,mongodb,7.0.5,False
139.162.161.60,mongodb,5.0.27,2024-10-31
45.91.134.41,mongodb,4.4.29,2024-02-29
89.39.106.46,mongodb,8.0.0,False
172.255.101.52,mongodb,6.0.21,2025-07-31
185.253.218.30,mongodb,4.2.24,2023-04-30
78.140.179.111,mongodb,8.0.10,False
87.238.168.29,mongodb,6.0.17,2025-07-31
83.149.105.16,mongodb,4.4.30,2024-02-29
185.62.58.80,mongodb,6.0.27,2025-07-31
139.162.89.172,mongodb,4.0.19,2022-04-30
139.162.154.38,mongodb,4.4.22,2024-02-29
185.219.83.167,mongodb,7.0.30,False
139.162.215.207,mongodb,7.0.12,False
45.136.238.230,mongodb,6.0.4,2025-07-31
45.154.25.214,mongodb,4.2.2,2023-04-30
139.162.2.134,mongodb,unknown,N/A
139.162.23.251,mongodb,4.4.4,2024-02-29
85.17.118.198,mongodb,8.0.4,False
139.162.137.57,mongodb,7.0.12,False
46.183.250.96,mongodb,4.4.29,2024-02-29
139.162.145.220,mongodb,8.0.9,False
80.89.239.151,mongodb,unknown,N/A
141.138.138.74,mongodb,4.4.24,2024-02-29
162.12.205.169,mongodb,unknown,N/A
139.162.189.27,mongodb,7.0.8,False
185.107.92.211,mongodb,7.0.28,False
85.17.180.127,mongodb,6.0.27,2025-07-31
124.198.132.114,mongodb,8.0.10,False
5.255.86.5,mongodb,3.4.24,2020-01-31
139.162.52.21,mongodb,8.0.12,False
136.144.29.60,mongodb,4.0.2,2022-04-30
85.10.137.96,mongodb,4.0.6,2022-04-30
145.14.10.40,mongodb,3.4.24,2020-01-31
139.162.27.97,mongodb,7.0.17,False
139.162.17.40,mongodb,7.0.26,False
139.162.156.155,mongodb,unknown,N/A
45.82.66.39,mongodb,7.0.34,False
84.82.212.238,mongodb,unknown,N/A
185.253.7.250,mongodb,7.0.24,False
185.191.2.221,mongodb,unknown,N/A
139.162.91.91,mongodb,7.0.26,False
217.23.8.59,mongodb,5.0.26,2024-10-31
213.125.232.5,mongodb,4.4.22,2024-02-29
204.76.203.151,mongodb,7.0.29,False
136.144.183.216,mongodb,7.0.26,False
141.98.19.9,mongodb,7.0.25,False
45.148.170.16,mongodb,7.0.25,False
139.162.24.150,mongodb,4.4.13,2024-02-29
139.162.83.137,mongodb,4.4.0,2024-02-29
37.97.227.227,mongodb,3.4.24,2020-01-31
103.246.147.204,mongodb,8.0.1,False
188.137.249.30,mongodb,7.0.25,False
83.149.84.237,mongodb,unknown,N/A
139.162.46.147,mongodb,3.2.20,2018-09-30
89.149.243.249,mongodb,unknown,N/A
77.83.175.110,mongodb,5.0.31,2024-10-31
45.91.134.54,mongodb,4.4.30,2024-02-29
139.162.131.243,mongodb,unknown,N/A
5.39.222.157,mongodb,unknown,N/A
80.89.238.89,mongodb,7.0.12,False
89.149.223.175,mongodb,7.0.29,False
212.80.215.7,mongodb,4.4.6,2024-02-29
139.162.39.109,mongodb,7.0.31,False
80.89.235.58,mongodb,4.4.1,2024-02-29
156.67.63.58,mongodb,8.0.4,False
79.170.93.115,mongodb,3.4.24,2020-01-31
178.159.43.214,mongodb,6.0.20,2025-07-31
45.136.236.41,mongodb,7.0.11,False
139.162.157.245,mongodb,7.0.12,False
172.241.68.124,mongodb,6.0.21,2025-07-31
5.255.103.165,mongodb,7.0.12,False
139.162.229.226,mongodb,5.0.27,2024-10-31
84.22.115.39,mongodb,3.4.24,2020-01-31
139.162.134.164,mongodb,4.4.16,2024-02-29
136.144.29.110,mongodb,4.0.2,2022-04-30
45.147.197.112,mongodb,6.0.1,2025-07-31
45.128.157.130,mongodb,7.0.28,False
139.162.1.177,mongodb,6.0.16,2025-07-31
45.88.76.220,mongodb,7.0.34,False
45.136.253.143,mongodb,4.4.29,2024-02-29
136.144.239.239,mongodb,8.0.4,False
136.144.209.152,mongodb,7.0.4,False
185.185.51.147,mongodb,8.0.12,False
139.162.198.178,mongodb,6.0.15,2025-07-31
45.66.11.101,mongodb,8.0.12,False
176.56.237.18,mongodb,6.0.2,2025-07-31
136.144.250.52,mongodb,7.0.6,False
5.183.135.155,mongodb,unknown,N/A
45.144.165.237,mongodb,4.4.29,2024-02-29
139.162.100.234,mongodb,4.2.3,2023-04-30
139.162.8.226,mongodb,6.0.16,2025-07-31
37.148.132.86,mongodb,unknown,N/A
23.109.161.60,mongodb,6.0.27,2025-07-31
139.162.33.133,mongodb,5.0.27,2024-10-31
139.162.12.93,mongodb,8.0.12,False
136.144.239.159,mongodb,8.0.5,False
5.180.173.9,mongodb,7.0.32,False
136.144.220.137,mongodb,4.2.18,2023-04-30
185.213.211.142,mongodb,3.6.3,2021-04-30
185.209.20.224,mongodb,8.0.8,False
139.162.61.22,mongodb,3.4.10,2020-01-31
