ip,port,status_code,server_header,nginx_version
"185.159.242.104","443","200","nginx","unknown"
"212.237.253.104","80","403","nginx","unknown"
"212.237.253.104","443","200","nginx","unknown"
"103.158.223.109","80","200","nginx/1.25.3","1.25.3"
"103.158.223.109","443","200","nginx/1.25.3","1.25.3"
"139.162.141.18","80","200","nginx","unknown"
"139.162.141.18","443","200","nginx","unknown"
"149.143.96.61","80","200","nginx","unknown"
"185.156.160.160","80","403","nginx","unknown"
"185.156.160.160","443","200","nginx","unknown"
"185.70.186.242","80","200","nginx/1.27.4","1.27.4"
"185.70.186.242","443","200","nginx/1.27.4","1.27.4"
"45.91.121.230","80","404","nginx","unknown"
"45.91.121.230","443","404","nginx","unknown"
"185.58.56.209","80","404","nginx","unknown"
"185.58.56.209","443","200","nginx","unknown"
"103.246.144.99","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"103.246.144.99","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"85.17.172.168","80","404","nginx","unknown"
"85.17.172.168","443","404","nginx","unknown"
"185.234.153.132","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"185.234.153.132","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"85.10.150.215","80","200","nginx","unknown"
"85.10.150.215","443","200","nginx","unknown"
"142.91.158.197","80","200","nginx/1.10.3 (Ubuntu)","1.10.3"
"142.91.158.197","443","200","nginx/1.10.3 (Ubuntu)","1.10.3"
"46.166.185.163","80","200","nginx","unknown"
"46.166.185.163","443","200","nginx","unknown"
"37.48.101.203","80","403","nginx","unknown"
"37.48.101.203","443","403","nginx","unknown"
"82.174.195.59","80","502","nginx/1.24.0 (Ubuntu)","1.24.0"
"82.174.195.59","443","502","nginx/1.24.0 (Ubuntu)","1.24.0"
"82.192.71.19","80","404","nginx/1.10.3","1.10.3"
"82.192.71.19","443","403","nginx/1.10.3","1.10.3"
"85.158.200.121","80","200","nginx","unknown"
"85.158.200.121","443","200","nginx","unknown"
"45.137.196.18","80","200","nginx","unknown"
"45.137.196.18","443","200","nginx","unknown"
"87.253.148.124","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"87.253.148.124","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"80.57.184.194","80","403","nginx","unknown"
"80.57.184.194","443","403","nginx","unknown"
"95.168.162.173","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"95.168.162.173","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"45.87.43.194","80","202","nginx-V-ddos","unknown"
"82.75.122.194","80","200","nginx","unknown"
"95.99.104.250","80","200","nginx","unknown"
"95.99.104.250","443","200","nginx","unknown"
"80.91.219.202","80","404","nginx","unknown"
"80.91.219.202","443","404","nginx","unknown"
"185.119.91.230","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"45.82.64.43","80","200","nginx/1.20.1","1.20.1"
"45.82.64.43","443","502","nginx/1.20.1","1.20.1"
"139.162.84.248","80","200","nginx","unknown"
"139.162.84.248","443","200","nginx","unknown"
"81.171.14.240","80","403","nginx","unknown"
"185.35.139.252","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"185.35.139.252","443","502","nginx/1.24.0 (Ubuntu)","1.24.0"
"146.0.74.26","80","404","nginx/1.19.8","1.19.8"
"146.0.74.26","443","404","nginx/1.19.8","1.19.8"
"95.98.40.128","80","404","nginx","unknown"
"45.143.250.196","80","403","nginx/1.22.0","1.22.0"
"45.143.250.196","443","403","nginx/1.22.0","1.22.0"
"185.66.249.148","80","200","nginx","unknown"
"185.66.249.148","443","200","nginx","unknown"
"139.162.120.5","80","200","nginx","unknown"
"84.87.219.87","80","200","nginx","unknown"
"84.87.219.87","443","200","nginx","unknown"
"185.244.219.86","80","200","nginx/1.18.0","1.18.0"
"185.244.219.86","443","200","nginx/1.18.0","1.18.0"
"109.236.88.70","80","200","nginx/1.18.0","1.18.0"
"149.210.189.224","80","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"149.210.189.224","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"139.162.204.122","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"139.162.204.122","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"37.97.216.40","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"37.97.216.40","443","401","nginx/1.18.0 (Ubuntu)","1.18.0"
"83.172.131.60","80","200","nginx","unknown"
"83.172.131.60","443","200","nginx","unknown"
"139.162.156.182","80","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"139.162.156.182","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"185.67.226.81","80","200","nginx","unknown"
"185.67.226.81","443","200","nginx","unknown"
"185.201.18.231","80","404","nginx","unknown"
"185.201.18.231","443","404","nginx","unknown"
"23.111.30.215","80","200","nginx/1.10.3 (Ubuntu)","1.10.3"
"23.111.30.215","443","200","nginx/1.10.3 (Ubuntu)","1.10.3"
"136.144.244.194","80","200","nginx","unknown"
"136.144.244.194","443","200","nginx","unknown"
"185.62.57.77","80","200","nginx","unknown"
"185.62.57.77","443","200","nginx","unknown"
"82.73.125.42","80","200","nginx","unknown"
"82.73.125.42","443","200","nginx","unknown"
"67.22.34.131","80","200","nginx","unknown"
"67.22.34.131","443","200","nginx","unknown"
"159.253.5.52","80","200","nginx","unknown"
"86.80.113.73","80","200","nginx","unknown"
"86.80.113.73","443","200","nginx","unknown"
"85.144.54.85","80","403","nginx","unknown"
"46.229.173.215","80","200","nginx/1.20.1","1.20.1"
"46.229.173.215","443","403","nginx/1.20.1","1.20.1"
"185.33.116.59","80","200","nginx","unknown"
"185.33.116.59","443","200","nginx","unknown"
"139.162.144.138","80","200","nginx/1.10.3 (Ubuntu)","1.10.3"
"87.253.137.149","80","200","nginx","unknown"
"87.253.137.149","443","200","nginx","unknown"
"139.162.38.65","80","403","nginx","unknown"
"139.162.38.65","443","403","nginx","unknown"
"178.162.148.115","80","401","nginx","unknown"
"178.162.148.115","443","401","nginx","unknown"
"141.224.193.36","80","200","nginx","unknown"
"141.224.193.36","443","200","nginx","unknown"
"185.107.44.122","80","200","nginx","unknown"
"185.95.24.64","80","200","nginx","unknown"
"185.95.24.64","443","200","nginx","unknown"
"94.75.254.211","80","404","nginx","unknown"
"77.170.192.97","80","200","nginx","unknown"
"77.170.192.97","443","200","nginx","unknown"
"213.174.138.86","80","403","nginx/1.22.0","1.22.0"
"213.174.138.86","443","403","nginx/1.22.0","1.22.0"
"37.48.102.96","80","200","nginx","unknown"
"37.48.102.96","443","200","nginx","unknown"
"37.97.223.20","80","200","nginx","unknown"
"37.97.223.20","443","200","nginx","unknown"
"136.144.177.206","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"136.144.177.206","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"217.103.155.211","80","403","nginx","unknown"
"188.137.249.52","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"188.137.249.52","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"84.28.229.104","80","200","nginx","unknown"
"139.162.158.196","80","200","nginx","unknown"
"139.162.158.196","443","200","nginx","unknown"
"85.10.135.252","80","200","nginx","unknown"
"85.10.135.252","443","200","nginx","unknown"
"188.137.232.254","80","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"188.137.232.254","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"45.143.250.200","80","403","nginx/1.22.0","1.22.0"
"45.143.250.200","443","403","nginx/1.22.0","1.22.0"
"85.17.192.115","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"85.17.192.115","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"136.144.160.144","80","200","nginx","unknown"
"45.154.27.127","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"45.154.27.127","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"185.182.193.211","80","200","nginx","unknown"
"37.48.89.203","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"37.48.89.203","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"88.85.94.226","80","404","nginx","unknown"
"88.85.94.226","443","404","nginx","unknown"
"139.162.134.184","80","200","nginx/1.14.2","1.14.2"
"139.162.134.184","443","200","nginx/1.14.2","1.14.2"
"85.223.2.160","80","200","nginx","unknown"
"85.223.2.160","443","200","nginx","unknown"
"185.156.161.28","80","403","nginx","unknown"
"185.156.161.28","443","200","nginx","unknown"
"23.109.253.236","80","404","nginx","unknown"
"185.108.112.32","80","200","nginx","unknown"
"185.108.112.32","443","200","nginx","unknown"
"194.76.186.46","80","404","nginx/1.26.2","1.26.2"
"185.135.241.106","80","200","nginx","unknown"
"185.135.241.106","443","200","nginx","unknown"
"66.151.43.161","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"66.151.43.161","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"185.91.12.50","80","200","nginx","unknown"
