ip,software,version,eol_status
45.141.206.153,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.135.96.99,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.149.89.176,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
5.79.106.140,Apache/2.4.37 (AlmaLinux) OpenSSL/1.1.1k,1.1.1k,2023-09-11
92.254.24.139,Apache/2.4.66 (FreeBSD) OpenSSL/3.0.19 SVN/1.14.5,3.0.19,False
37.148.135.183,Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30,3.1.3,2025-03-14
45.157.203.156,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.135.96.251,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.135.96.94,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.161.210.28,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.141.207.220,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
149.210.216.160,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips,1.0.2k,2019-12-31
37.148.133.118,Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30,3.1.3,2025-03-14
77.243.230.41,Apache/2.4.10 (Unix) OpenSSL/1.0.1j PHP/5.6.4,1.0.1j,2016-12-31
45.136.65.84,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
91.244.205.97,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
139.162.125.124,Apache/2.4.37 (Rocky Linux) OpenSSL/1.1.1k,1.1.1k,2023-09-11
45.136.64.37,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
91.244.206.180,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.161.220.213,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.161.222.189,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
193.110.4.246,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.157.202.239,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
81.206.32.198,IPCamera-Webs/2.5.0 PeerSec-OpenSSL/3.1.3-OPEN,3.1.3,2025-03-14
46.161.211.192,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
185.222.34.244,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.207.213,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.135.96.39,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.161.220.214,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.136.66.64,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.161.210.116,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.88.104.234,Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12,3.1.3,2025-03-14
45.149.90.193,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.149.89.111,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
178.248.159.205,Apache/2.4.37 (centos) OpenSSL/1.1.1g mod_wsgi/4.6.4 Python/3.6,1.1.1g,2023-09-11
213.163.70.160,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16,1.0.2k,2019-12-31
193.110.4.166,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.141.206.220,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.161.221.72,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
185.188.73.110,Apache/2.4.52 (Unix) OpenSSL/3.2.2 PHP/7.3.33,3.2.2,2025-11-23
136.144.202.213,Apache/2.4.62 (Fedora Linux) OpenSSL/3.2.4,3.2.4,2025-11-23
45.141.18.113,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.157.203.142,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
178.162.150.178,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.4.33,1.0.2k,2019-12-31
45.135.96.144,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.136.66.184,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
93.190.138.81,Apache/2.4.37 (centos) OpenSSL/1.1.1k,1.1.1k,2023-09-11
45.141.63.162,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
91.211.251.193,Apache/2.4.6 (CentOS) mpm-itk/2.4.7-04 OpenSSL/1.0.2k-fips PHP/7.0.33,1.0.2k,2019-12-31
89.31.216.51,Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12,3.1.3,2025-03-14
185.222.33.9,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.207.101,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.149.89.169,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
185.222.33.7,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
185.188.73.209,Apache/2.4.52 (Unix) OpenSSL/3.2.2 PHP/7.3.33,3.2.2,2025-11-23
45.149.91.202,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
178.251.25.240,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16,1.0.2k,2019-12-31
45.135.98.33,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.149.88.189,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.152.9.190,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
185.222.33.198,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.140.9.119,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.152.9.148,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.161.221.85,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
91.244.207.219,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
91.244.206.56,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.149.91.151,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.141.63.137,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
136.144.239.4,Apache/2.4.46 (FreeBSD) OpenSSL/1.1.1h-freebsd PHP/8.0.3,1.1.1h,2023-09-11
45.136.67.128,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.161.222.180,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
91.244.207.151,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.161.210.31,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
194.76.134.5,Apache/2.4.62 (Rocky Linux) OpenSSL/3.5.1,3.5.1,False
45.152.8.177,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
5.57.227.186,Apache/2.4.52 (Win32) OpenSSL/1.1.1m PHP/8.2.28,1.1.1m,2023-09-11
195.62.23.125,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.141.16.131,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.63.52,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.141.16.147,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.19.192,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.149.91.97,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
37.218.246.205,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.2.11,1.0.2k,2019-12-31
85.10.154.22,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/8.2.20,1.0.2k,2019-12-31
45.149.91.124,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.140.9.108,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.135.97.27,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.235.42.215,Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.5 mod_fcgid/2.3.9,3.5.5,False
62.129.135.10,Apache/1.3.37 (Unix) mod_ssl/2.8.28 OpenSSL/0.9.8y,0.9.8y,2015-12-31
136.144.245.186,Apache/2.4.37 (Rocky Linux) OpenSSL/1.1.1k,1.1.1k,2023-09-11
45.141.16.71,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
185.222.35.146,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.136.66.239,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.149.88.34,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
185.222.35.27,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.161.221.68,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.63.132,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.136.67.183,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
195.62.22.120,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.159.195.153,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16,1.0.2k,2019-12-31
212.47.211.11,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16,1.0.2k,2019-12-31
